,Scientific Name,Class,Order,Family,Trend,Status,Life Span (years),Length (cm),Weight (kg),Is Social,Is Nocturnal,Diet,Mating Behavior,Incubation Period (days),Baby Carrying,Independent Age (days),Africa,Antarctica,Asia,Europe,Oceania,South America,Central America,North America,Cold,Dry/Desert,Polar/Tundra,Temperate,Tropical
1095,Dromaius novaehollandiae,aves,casuariiformes,casuariidae,1,0,12.5,152.5,39,0,0,0,1,56,10,345,0,0,0,0,1,0,0,0,0,1,0,1,1
1096,Buteo jamaicensis,aves,accipitriformes,accipitridae,2,0,20,55,0.3455,0,0,1,0,30,3,44,0,0,0,0,1,0,0,0,1,0,0,1,1
1097,Phoenicoparrus andinus,aves,phoenicopteriformes,phoenicopteridae,1,1,50,121.0318859,0.004,1,0,0,0,29,1,240,0,0,0,0,0,0,0,0,0,1,1,1,0
1098,Geopelia cuneata,aves,columbiformes,columbidae,1,0,10,21.5,0.045,1,0,2,1,13.5,2,14,0,0,0,0,1,0,0,0,0,1,0,1,1
1099,Probosciger aterrimus,aves,psittaciformes,cacatuidae,0,0,50,57.5,0.4555,1,0,2,0,31.5,1,149,0,0,1,0,1,0,0,0,0,0,0,0,1
1100,Diomedea exulans,aves,procellariiformes,diomedeidae,0,1,34.5,121,8.5,1,1,1,0,78,1,270,1,1,1,1,1,0,0,0,1,0,0,1,0
1101,Gallicolumba luzonica,aves,columbiformes,columbidae,0,0,20,30,0.184,1,0,0,0,16,2,75,0,0,1,0,0,0,0,0,0,0,0,0,1
1102,Aix galericulata,aves,anseriformes,anatidae,0,0,7.5,45,0.5605,1,0,0,0,29,10.5,42.5,0,0,1,1,0,0,0,0,1,0,0,1,0
1103,Buteo buteo,aves,accipitriformes,accipitridae,1,0,25,49,0.214,1,0,1,0,35.5,3,105,1,0,1,1,0,0,0,0,1,1,0,1,1
1104,Merops orientalis,aves,coraciiformes,meropidae,2,0,15,17,0.0175,1,0,3,0,20,6,26.5,0,0,1,1,0,0,0,0,0,1,0,1,1
1105,Cacatua galerita,aves,psittaciformes,cacatuidae,0,0,70,49.5,0.8,1,0,2,0,28.5,2.5,70,0,0,1,0,1,0,0,0,0,1,0,1,1
1106,Amazona ochrocephala,aves,psittaciformes,psittacidae,0,0,70,35.5,0.483,1,0,2,0,25.5,3,60,0,0,0,0,0,0,0,0,0,0,0,0,1
1107,Phoenicopterus roseus,aves,phoenicopteriformes,phoenicopteridae,2,0,50,121.0318859,3,1,0,0,0,29,1.5,77.5,1,0,1,1,1,0,0,0,0,1,0,1,1
1108,Ceyx azureus,aves,coraciiformes,alcedinidae,0,0,10,18,0.035,0,0,1,0,21,6,30,0,0,1,0,1,0,0,0,0,0,0,0,0
1109,Megaceryle alcyon,aves,coraciiformes,alcedinidae,1,0,10,31.5,0.1455,0,0,1,0,23,6.5,31,0,0,0,0,1,0,0,0,1,1,0,1,1
1110,Cicinnurus respublica,aves,passeriformes,paradisaeidae,0,0,17.5,21,0.0595,0,0,0,0,13.99456522,4.668367347,28.70652174,0,0,1,0,0,0,0,0,0,0,0,0,1
1111,Ardea herodias,aves,pelecaniformes,ardeidae,2,0,19,114,2,1,0,1,0,28,5,63,1,0,0,1,1,0,0,0,1,1,0,1,0
1112,Aix sponsa,aves,anseriformes,anatidae,2,0,9,50.5,0.658,1,0,0,0,30,10.5,63,0,0,0,1,0,0,0,0,1,0,0,1,0
1113,Gyps himalayensis,aves,accipitriformes,accipitridae,1,0,27.5,112.5,10,1,0,1,0,50,1,195,0,0,1,0,0,0,0,0,1,1,1,0,0
1114,Cygnus olor,aves,anseriformes,anatidae,2,0,29.5,150,9.5,1,0,2,0,37,8.5,365,0,0,1,1,0,0,0,0,1,0,0,1,0
1115,Columba livia,aves,columbiformes,columbidae,0,0,20.5,33,0.309,1,0,2,0,17.5,2,28,1,0,1,1,1,0,0,0,1,1,0,1,0
1116,Zenaida macroura,aves,columbiformes,columbidae,2,0,10,29,0.133,1,0,2,0,14.5,2,30,0,0,0,1,0,0,0,0,1,1,0,1,0
1117,Torgos tracheliotos,aves,accipitriformes,accipitridae,0,1,40,105,6.5,0,0,1,0,52.5,1,130,1,0,1,0,0,0,0,0,0,1,0,1,1
1118,Pelecanus onocrotalus,aves,pelecaniformes,pelecanidae,1,0,51,160,10,1,0,1,0,31,2,80,1,0,1,1,0,0,0,0,0,1,0,1,1
1119,Ardeotis kori,aves,otidiformes,otididae,0,0,27,115,11,0,0,0,1,23.5,1.5,365,1,0,0,0,0,0,0,0,0,1,0,1,1
